Title,Description,PostsNum
Important Progress iMacros Product Update,"Dear iMacros Customers and Users, 

We are writing to inform you that Progress will be officially discontinuing the Progress iMacros product, with a planned End-Of-Life date of November 30, 2023. 

What does this mean? 
Moving forward, Progress will continue to support the iMacros product and will only provide critical fixes as needed until the EOL date. We will honor all service agreements through the existing term, except for those contracts that go beyond the EOL date. Customers with service agreements that go beyond the EOL date will be contacted separately to discuss their options and next steps. We will continue to offer service agreement renewals that do not exceed the EOL date. 

What are your next steps? 
Please remain on the lookout for more communications from Progress in the coming months, as more information will be made readily available to assist you as you prepare your transition plans. 

If you have additional questions, please email iMacrosInquiries@progress.com 

On behalf of Progress, thank you for your continued partnership and commitment. 

Sincerely,  
The Progress iMacros Team",2
*** Please read this before reporting problems ***,"Post last updated: May 25, 2020.

If you open a new topic (or post for the first time in some existing topic) to report an issue or ask any question, we can respond much faster if your problem description includes the following information (if applicable, not all questions fit to all problems):

1. What version of iMacros are you using?
You find the iMacros version and build information at the top of every macro that you record, for example ""VERSION BUILD=10100795"". Also specify whether you are using a freeware, trial, or licensed version, e.g. Personal Edition. Please test with the latest version.

2. What operating system are you using? (please also specify language)
Example: Windows 10, Windows 8.1, Windows 7, Windows Server 2012R2, English, German, Chinese, ...

3. Which browser(s) are you using? (include version numbers)
Example: Chrome 74.0.3729.13, Firefox 64.0.2, IE 11/10/9, ...

4. Do the included demo macros work ok? 
This test helps us to determine if the problem is a general iMacros issue or is somehow related to a specific website or configuration.

5. If reporting a problem with the iMacros scripting interface, please also test if the included VBS sample scripts run ok.
This test helps us to determine if the iMacros scripting interface installation is ok.

6. If recording or replay fails on a specific website: Can you please post the URL of the web page and/or the macro that creates the problem?
If you cannot post the macro in a public user forum or the website requires a login, can you provide a similar example of the problem on a publicly accessible website?

7. Do you encounter the same problem recording or replaying the macro in different browsers, such as the iMacros browser, Firefox, Chrome, or Internet Explorer? 
Note: If the problem is specific to Firefox or Chrome, please post in either the iMacros for Firefox or iMacros for Chrome sub-forum respectively.

8. Please include any additional information that is relevant to reproducing the issue.
This includes a detailed description of the steps you've tried as well as the specific error codes and messages, macro logs, screen shots, etc. Please upload screenshots and other relevant files directly to the forum and not to a third-party hosting service!

This information allows us to quickly re-create the issue on our test systems and solve it ASAP.

Additional tips when posting

* Please ensure that the content of your post is relevant to the topic and/or forum where you post it.
For example, if you are having a problem extracting data from a web page and are using Firefox, create your post in the Data Extraction and Web Screen Scraping forum rather than the iMacros for Firefox forum (see note #7 above). If you are unsure which forum to post to, use the General Support & Discussions forum.

* Use a topic title that succinctly describes the problem or issue.
Avoid phrases such as ""Please Help"", ""Urgent"", ""Script not working"", etc. and refrain from using all capital letters and exclamation points. Also, double-check that the spelling of the title and body of the post are correct, since this makes it more likely to be found in searches by other users. Most modern browsers automatically check spelling as you type and underline mistakes, so please correct them before submitting your post.

* Don't post the same question to more than one forum.
If you've miscategorized your original post, just click the Exclamation Icon on the right of the post's subject/title line to report it and let us know where you would like it moved or merged.

* Always provide your FCI (Full Config Info), c.f. items 1-3 above, in your original post even if you think it may not be relevant.
Some of our mods may not even respond unless this information is included. Please don't put this information in your signature, because this can change over time and makes it more confusing when reviewing older posts. Include the information directly in the body of the post instead.

* When sharing screenshots or other relevant files, please upload them directly to the forum rather than use a third-party hosting/sharing service.
Too often these services stop functioning or the files become unavailable for whatever reason. Uploading them here ensures that the full context of the post remains consistent over time.

* Take a minute to review your forum notification settings

Thank you for helping us to help you better!",1
Need to position in the field that has the focus,"Hi all,

I have searched a lot, but did not found or understand how this works. 

I want to paste my input starting in the actual field that is active. not just in the first field. My script does exactly what I want, but starting with the first field on the screen.

I do not use goto URL, but the actual HTML-Site.

Any hint would be great

Newbie96",8
Help on removing comma in numbers and saving,"Hi, I'm completely new to iMarcos and I'm trying to use it to extract some numbers from a webpage. Somehow I'm making it to work, but since those numbers are formatted with commas, I need to remove them in order to read them to database.

Below code somehow worked to remove those commas, but a new issue of it is that once I save to the csv, iMacros doesn't translate the [EXTRACT] into comma. It just puts something like 123[EXTRACT]456[EXTRACT]789[EXTRACT] exactly into the csv.

Am I using a wrong way to remove commas from extraction? Or I'm missing something in the extraction saving? Struggling about this for days and I couldn't solve. Can experts here help? Thank you very much.

Those prompts are for me to keep track of results. The date adding action is used to add a date for the extraction in which it shouldn't be related to my problems.
Code: Select allSET !EXTRACT NULL
ADD !EXTRACT {{!NOW:mm/dd/yyyy}}

TAG POS=8 TYPE=DIV ATTR=CLASS:ellipsis EXTRACT=TXT
PROMPT {{!EXTRACT}}

TAG POS=16 TYPE=DIV ATTR=CLASS:ellipsis EXTRACT=TXT
PROMPT {{!EXTRACT}}

TAG POS=24 TYPE=DIV ATTR=CLASS:ellipsis EXTRACT=TXT
PROMPT {{!EXTRACT}}

TAG POS=40 TYPE=DIV ATTR=CLASS:ellipsis EXTRACT=TXT
PROMPT {{!EXTRACT}}

TAG POS=32 TYPE=DIV ATTR=CLASS:ellipsis EXTRACT=TXT
PROMPT {{!EXTRACT}}

TAG POS=48 TYPE=DIV ATTR=CLASS:ellipsis EXTRACT=TXT
PROMPT {{!EXTRACT}}

TAG POS=56 TYPE=DIV ATTR=CLASS:ellipsis EXTRACT=TXT
PROMPT {{!EXTRACT}}

TAG POS=64 TYPE=DIV ATTR=CLASS:ellipsis EXTRACT=TXT
PROMPT {{!EXTRACT}}

SET !VAR1 EVAL(""var s=\""{{!EXTRACT}}\""; s.replace(\""\\,\"", \""\"");"")
SET !VAR1 EVAL(""var s=\""{{!VAR1}}\""; s.replace(\""\\,\"", \""\"");"")
SET !VAR1 EVAL(""var s=\""{{!VAR1}}\""; s.replace(\""\\,\"", \""\"");"")
SET !VAR1 EVAL(""var s=\""{{!VAR1}}\""; s.replace(\""\\,\"", \""\"");"")
SET !VAR1 EVAL(""var s=\""{{!VAR1}}\""; s.replace(\""\\,\"", \""\"");"")
SET !VAR1 EVAL(""var s=\""{{!VAR1}}\""; s.replace(\""\\,\"", \""\"");"")
SET !VAR1 EVAL(""var s=\""{{!VAR1}}\""; s.replace(\""\\,\"", \""\"");"")
SET !VAR1 EVAL(""var s=\""{{!VAR1}}\""; s.replace(\""\\,\"", \""\"");"")

PROMPT {{!EXTRACT}}
PROMPT {{!VAR1}}

SET !EXTRACT {{!VAR1}}

PROMPT {{!EXTRACT}}
PROMPT {{!VAR1}}

TAG POS=1 TYPE=A ATTR=TXT:Log<SP>Out

SAVEAS TYPE=EXTRACT FOLDER=\\SERVER\d$\IMPORT\ FILE=result.csv
",13
"Different behaviour - scripting vs manual, with AJAX request","Hi all

Our ISP provides an online web site, where you can download a CSV of usage data.
I am attempting to write a tool that extracts this data for each of our customers only a regular basis, and injects it into a database so they can easily retrieve a graphical representation

There are two views of data - summary and detailed.
When I login to the website manually, the process is URL for login screen -> TAG enter details -> click A 'Detailed' -> click A 'Download Usage' -> click BTN 'Download'
The CSV that downloads shows detailed usage data.

I have built this behaviour into iMacros, using recording and some manual adjustments for additional waiting.
But the downloaded CSV is always only the 'summary' data - not the detailed.

I have confirmed by watching the script that iMacros does trigger the click on the A tag 'Detailed', which in theory is what 'switches' the behaviour of the Download button to download detailed data.
But the downloaded CSV is only ever summary view. I can even perform the same behaviour side-by-side, in a Chrome window manually on the right and iMacros 12 built-in browser on the left, and the output from iMacros is summary whereas the output from Chrome is detailed. Interestingly though - when I navigate the page using the iMacros built-in browser manually, it correctly registers that I've clicked on 'Detailed' view and downloads the full detailed CSV.

The website is very AJAX-heavy, to load in controls and data (hence having to build in plenty of additional WAIT commands). 
My thinking is that the built-in iMacros browser is not handling some form of local cache/cookie/session storage command from the website, whereas Chrome et al does.
As an example, in the Chrome developer when switching back forth between 'summary' and 'detailed' view (before downloading the CSV) this error is logged;
VM127:3 [Deprecation] 'window.webkitStorageInfo' is deprecated. Please use 'navigator.webkitTemporaryStorage' or 'navigator.webkitPersistentStorage' instead.

If I'm right, and the website is storing the 'current' view (detailed) in some kind of local storage, is there any way to replicate this behaviour in iMacros?

I've checked the 'Application' tab in Chrome developer console, and can't see any obvious setting stored in Local Session Storage or Cookies, just a SESSION_ID which doesn't help.
I've also tried to run my iMacros script in the main 3 browsers;
- IE 11 worked to load the web page, but no fields were ever filled in on the login page
- Chrome & Firefox were completely unresponsive when I click 'Play in -> ...' in the Script Editor

Only the built-in iMacros browser works, and it comes very close to what's needed by just refuses to 'remember' that it's clicked 'Detailed View' before it downloads
Note that I've tried clicking both the 'Detailed' and 'Download' buttons as both TAGs and EVENTs

I'm using iMacros 12 on Windows 10
If anyone has any suggestions relating to tricks for handling AJAX-heavy pages, ideas about how to force iMacros to 'fully register' a click on an AJAX page, or tips for getting iMacros to work with Chrome on Windows 10 I'd appreciate it

Regards,
Sam",4
Zooming,"New iMacros user here.  I have a web page that is being displayed differently on standard aspect monitors than on their widescreen counterparts (the components I'm using in the macro aren't even present in the trunctated version!).  I have tried various resizing to no avail, but have noticed that when I zoom out the web page is rebuilt with the components I need!  I've searched these forums and the wiki to no avail.  I have tried each recording method and none of them pick up my zooming (ctrl + / ctrl -).  Has anybody successfully gotten zooming to work with IE?

Thanks",4
Using JQuery with iMacros,"Greetings all, I am a long time lurker first time poster. 

I've found a few posts on the web about using JQuery in iMacros but none seem to work.

Here is one:
Code: Select allfunction loadScriptFromURL(url) {
    var request = Components.classes['@mozilla.org/xmlextras/xmlhttprequest;1'].createInstance(Components.interfaces.nsIXMLHttpRequest),
        async = false;
    request.open('GET', url, async);
    request.send();
    if (request.status !== 200) {
        var message = 'an error occurred while loading script at url: ' + url + ', status: ' + request.status;
        iimDisplay(message);
        return false;
    }
    eval(request.response);
    return true;
}

// load JQuery
loadScriptFromURL('http://mysupersecret.blob.core.windows.net/share/jquery-2.0.3.min.js');
$ = window.$,
JQuery = window.JQuery;

Is this correct? Do I have to add this to each macro I plan to use it with or can I reference it somehow?  I've tried adding it to a js file with JQuery but it doesn't like the line ""$ = window.$,""

Any advice would be appreciated, thanks!

Using Firefox 55.0.2 (32-bit) and whatever iMacros is the latest as of 08-18-2017",6
Help: How to capture LinkedIn Search results?,"Hi everyone

I'm new to iMacros and would really appreciate a little bit of newbie help to get me started.

I'm trying to figure out how to capture my LinkedIn search results but it seems really difficult to do 

If any of you iMacro gurus had a script snippet or example you could share it would be a huge help to me!

What I want to do is... do a search (eg for 2nd level connections) and then capture the results.

Specifically:

+ name
+ title
+ profile link
+ number of shared connections

... and then go through X pages of search results saving the data to a text file


I've found plenty of things related to profiles but nothing related to the search results page.

Hope someone might be able to share an example.

Thanks everyone for making this forum great.
R",6
Simple YouTube macro isn't working,"This simple series of clicks is supposed to hit the SHARE button on YouTube, then COPY button for the URL that appears in the popup, then dismiss the popup. (Note that YT has changed the layout of the page very recently).

VERSION BUILD=9030808 RECORDER=FX
TAB T=1
TAG POS=6 TYPE=YT-FORMATTED-STRING ATTR=ID:text
TAG POS=8 TYPE=YT-FORMATTED-STRING ATTR=ID:text
TAG POS=1 TYPE=DIV ATTR=ID:owner-container
TAG POS=8 TYPE=YT-FORMATTED-STRING ATTR=ID:text
TAG POS=2 TYPE=DIV ATTR=ID:info

However, it's as if the string is not passed to the clipboard properly. Instead, the clipboard contains the string associated with the previous run of the macro. That is why there are two tries at TAG POS=8 - trying to get the current URL onto the clipboard.

The purpose is to extract the YouTube link for pasting into an online content management system. I can't figure out the hitch here.",2
Extract email but only if not a duplicate in my CVS file?,"Hi I am going nuts trying to figure out how to extract email from a website but only if that email isn't already in my CVS file.  If the email is already there can I stop the iMacro and have it restart from the begging?

To extract and save I'm using and it works:
Code: Select allTAG POS=1 TYPE=P ATTR=CLASS:""tel-number"" EXTRACT=TXT

SAVEAS TYPE=EXTRACT FOLDER=/Users/Me FILE=cl-num.csv

How would I go about checking if the email is already in my CVS?  And if it is make the iMacro restart?

Thanks everyone 


.",14
