Title,PostCount,ReplyCount,Excerpt,tag
About the IT Automation category,2,0,"Everything about our IT Automation packages. 
As a first step in our IT Automation roadmap,  we’re excited to announce our VMware activities package is now available in public preview!  This initial set of 11 activities &hellip;",it-automation
"To set the date in the date field, using 'ALTERIFDISABLED=TRUE'",4,0,"Hi all,  I am able to set the date in the date field, using ‘ALTERIFDISABLED=TRUE’ but when ‘Apply filter’ is activated, it is not filtering records accordingly and wrong data are displayed. Urgent. Please help",it-automation
Amazon Web Services (AWS) Activities are now in Public Preview,79,55,"Amazon Web Services (AWS) Activities are now in Public Preview


Update!

This activity is now available on the Official Stable Feed:



Description
UiPath.AmazonWebServices.Activities package offers activities for Amaz&hellip;",it-automation
Data Migration,10,6,"Is it possible to automate the data validation process, post data migration using UiPath?",it-automation
"How to set KEY/Value pairs as ""x-www-form-urlencoded"" type in ""HTTP Request"" activity in uipath",8,5,"How to set KEY/Value pairs as “x-www-form-urlencoded” type in “HTTP Request” activity in uipath? 
WE are making a API call using postman which works fine in postman as shown below: 
  
in the above postman request we are&hellip;",it-automation
Read data from excel!,6,2,"How to read the data from Excel into a data 
table in UiPath",it-automation
UiPath Cross browser Testing,9,3,"How to use the single script designed in uipath to run in multiple browsers? 

I will pass the browser variable in datasheet and it should run in that browser. 
2.The selector content for each browser seems to change as &hellip;",it-automation
How to open another Tab in chrome browser,3,0,"Hello all. I need to open multiple url and need to type user and password in different format. 
When I use type into activity for selecting user in new opened tab it is not selecting proper selector",it-automation
How to enable Allow in Incognito and Allow access to file URLs in Chrome extension using CLI?,2,0,"Hi all 
I need to validate and enble below 2 toggle button in chrome extension using CLI. 
1)Allow access to file URLs 
2)Allow in Incognito",it-automation
PDF to Excel: Multiple RegEx matches in multiple columns,13,8,"Hi everyone, 
I’m very new to UiPath and programming as a whole, so I don’t have a lot of experience in this. 
I’m trying to create a program, that reads a single, random PDF-file, datascrape using regex and writing the &hellip;",it-automation
Chrome is not coming to foreground,9,5,"Hi all, 
I am using use application/browser activity. I have added screenshot of the properties of activity. 
even though resize window property is Maximize, chrome is not coming to foreground. any suggestions???",it-automation
IT Automation Activities for Microsoft Exchange Server,11,5,"Update!

This activity is now available on the Official Stable Feed:



Learn more about it here :point_down:

Description
UiPath.ExchangeServer.Activities package offers administration activities for Microsoft Exchange&hellip;",it-automation
Is it possible to extract the contents of PDF and include it into an email body to be sent?,3,0,"I have currently scheduled an automated report from a reporting server, however it always sends the report as PDF attachment. I would like to have the PDF content just immediately pasted into the email body and then forw&hellip;",it-automation
How do i create a login for any website,7,4,"I’m trying to make the URL , username a variable.",it-automation
How to Check Today's is Third Thursday of month or not,3,0,"Hi all, 
I have one doubt How we can check today’s is 3rd Thursday of month or not. Kindly to get solution",it-automation
Azure Active Directory (Azure AD) Activities are now in Public Preview,27,14,"Update!

This package is now available on the Official Stable Feed:
 


Azure Active Directory (Azure AD) Activities are now in Public Preview


Description
UiPath.AzureActiveDirectory.Activities package offers activiti&hellip;",it-automation
Robot login with SSO,2,0,We have a application (software client)  that uses SSO at login. Is it possible for a robot to login in a such application when the UiPath is already running as poweruser?,it-automation
Automate google search with data from excel,3,1,"Hi all 
I have a database of words to Google and scrape the data that comes up. 
I can figure out the scraping portion but I am unable to automate the search process. 
So the flow would be like 
Extract word from databas&hellip;",it-automation
Excel manipulation to get top 15 from data,16,6,"Hi team, i have a raw data here i have to get top 15 vendors by the item count value, how can this be done",it-automation
How do I put UIpath project to run in a C: drive server without getting errors,11,6,how do I put UIpath project to run in a C: drive server without getting errors,it-automation
Using UiPath Libraries in Visual Studio,2,0,"So I imported some UiPath nupkg in a Net Framework 4.8 WPF Project, specifically the UiPath.Core.Activities and imported the UiPath.Activities.Contracts DLL which is required. 
I have written this code: 
        Initiali&hellip;",it-automation
Read hand writing on PDF File - OCR,2,0,"Dear Friends 
Please help to extract this hand written PDF data to excel or word as part of automation process. 
You advices are highly appreciate 
  
Thanks",it-automation
Need to click on an element on the 2 window,9,3,"Hi 
I am unable to click “All time” using click option 
I tried attach browser , recording but in vain 
I need to close the window too not the browser. “Close window” activity closes the browser itself",it-automation
After executing query excel is corrected have any solution?,3,0,in Excels DB  actually  Query is working perfectly in SQL Query Executer,it-automation
Question regarding REGEX,8,4,"I am reading all the data from a PDF, I want to find a string example “Tax ID: RO874231” from it using Regex. 
The one which I am using is “(?&lt;=Tax\sID)\d+”. It does not work 
Please let me know the correct regex",it-automation
Problem Creating Mailbox,5,2,"@ovidiuponoran 
After creating the user in AD (with user principal name) by using the Create User activity available inside the ActiveDirectoryDomainService Package successfully, the Create Mailbox (Exchange Server) acti&hellip;",it-automation
DU Framework - Skip waiting process for human validation,4,2,"I want the processing to continue without waiting for a validation.  What should I do? 
Best regards,",it-automation
Regex Match For /,12,7,"Hi Devs, pls can anyone help me with regex expression to match /, I have used in my code but it’s not getting / from for each row data",it-automation
Not able to assign a variable to one of the header in HTTP activity,3,0,"I am trying to get cookie during runtime from a website and got the output to a variable, used the same in writeline activity and able to see the values in console. But when I am trying to pass the same variable as a val&hellip;",it-automation
How can I get the directory to a Application,3,1,I’m looking to find a solution where I want get the apllication path  before I use it to work in all computers regardless of where the application is installed,it-automation
Retrieve insert Id from Insert Record-UiPath Salesforce activity,2,0,"Hi , 
Is there any option to retrieve id of the inserted record from Insert Record-UiPath Salesforce activity",it-automation
REFramework : Object reference not set to an instance of an object,3,0,"Hi All, 
We are using REFramework without queues. Transaction item will be based on number of rows in excel input file. We want to assign below values of input excel to variable in Assign activity but its throwing an err&hellip;",it-automation
Project is stopped and not create any log,11,7,"Everyday, Uipath project is running automatically, but sometimes when [login ] activity login into the other web, [login ] activity don’t start  and not create any log too. Although i used [try-catch] activity in this ca&hellip;",it-automation
UiPath NetIQ eDirectory Activities are now in Public Preview,10,4,":loudspeaker: UPDATE 
UiPath.NetIQeDirectory.Activities 1.0.0 are now available on the Official Feed 


Description
UiPath.NetIQeDirectory.Activities package offers cross-platform activities for LDAP (both eDirectory an&hellip;",it-automation
Microsoft Hyper-V Activities are now in Public Preview,7,1,":loudspeaker:  Microsoft Hyper-V Activities are now in Public Preview

Description
UiPath.HyperV.Activities package offers activities for Microsoft Hyper-V virtualized infrastructure. 
This set of activities enables IT &hellip;",it-automation
Google Cloud Platform (GCP) Activities are available for Public Preview,2,0,"Description

Update: :loudspeaker: :loudspeaker::loudspeaker: Google Cloud Platform activities are now available on the Official Stable Feed!
In addition to existing activities for managing virtual machine instances, it&hellip;",it-automation
Input dialog features:,5,3,"Hi there, I’m passing a list of strings to a dropdown menu in the Create Form activity. Does any one know if it’s possible to select multiple options from this list? 
Thank you in advance!",it-automation
How to connect to SAP,3,0,"How to connect to SAP logon pad. 
I am getting this error while opening the application",it-automation
How to Update object properties in Active Directory,4,1,"i need help with the input in the properties field. What am i supposed to type in 
InArgument? 
Do i have to create a new Data Table here and assign in to a variable or can i just write: 
InArgument&lt;DataTable(“Display Na&hellip;",it-automation
Cannot access application 'pgmessagehosttext.exe.' Elevated privileges might be required. Try running the UiPath application as an administrator,2,0,"I’m trying to automate an RDP process. I started UiPath studio as admin on my local machine. From the Studio, I was able to RDP to a remote server, log in to the remote desktop with an account from a different domain. Th&hellip;",it-automation
Stuck on parsing date with different format,10,3,"I have dates in excel in format as 
10_Oct_2012 
5_Sept_2015 
01_Jan_2012 
After reading excel 
Using for each row to iterate… 
I’m trying to parse the date using 
DateTime.ParseExact(DateAsStr, “d_MMM_yyyy”, System.glob&hellip;",it-automation
"Pass a variable as condition in If activity, where variable contains complete condition as a string",11,7,"Hi, 
I want to pass a variable as condition in If activity, where variable contains the complete condition as string. 
Like - 
My condition is assigned to the variable - 
variable1 = ‘row1.item(“Name”)=row2.item(“Name”)’ &hellip;",it-automation
Active Directory Set User Expiration Date,5,1,"Hi, 
I have some user in active directory that have an expiration date, i want to clear Expiration date to be never, i tried to use nullable datetime and put value null in a value for “set user expiration date” activity &hellip;",it-automation
Azure Activities now in Public Preview,53,36,"Update

This package is now available on the official feed!
 

Description
UiPath.Azure.Activities package offers activities for Microsoft’s cloud, Azure. 
This initial set of 50+ activities enables IT Departments to ea&hellip;",it-automation
