Title,Description,PostsNum
Important Progress iMacros Product Update,"Dear iMacros Customers and Users, 

We are writing to inform you that Progress will be officially discontinuing the Progress iMacros product, with a planned End-Of-Life date of November 30, 2023. 

What does this mean? 
Moving forward, Progress will continue to support the iMacros product and will only provide critical fixes as needed until the EOL date. We will honor all service agreements through the existing term, except for those contracts that go beyond the EOL date. Customers with service agreements that go beyond the EOL date will be contacted separately to discuss their options and next steps. We will continue to offer service agreement renewals that do not exceed the EOL date. 

What are your next steps? 
Please remain on the lookout for more communications from Progress in the coming months, as more information will be made readily available to assist you as you prepare your transition plans. 

If you have additional questions, please email iMacrosInquiries@progress.com 

On behalf of Progress, thank you for your continued partnership and commitment. 

Sincerely,  
The Progress iMacros Team",2
*** Please read this before reporting problems ***,"Post last updated: May 25, 2020.

If you open a new topic (or post for the first time in some existing topic) to report an issue or ask any question, we can respond much faster if your problem description includes the following information (if applicable, not all questions fit to all problems):

1. What version of iMacros are you using?
You find the iMacros version and build information at the top of every macro that you record, for example ""VERSION BUILD=10100795"". Also specify whether you are using a freeware, trial, or licensed version, e.g. Personal Edition. Please test with the latest version.

2. What operating system are you using? (please also specify language)
Example: Windows 10, Windows 8.1, Windows 7, Windows Server 2012R2, English, German, Chinese, ...

3. Which browser(s) are you using? (include version numbers)
Example: Chrome 74.0.3729.13, Firefox 64.0.2, IE 11/10/9, ...

4. Do the included demo macros work ok? 
This test helps us to determine if the problem is a general iMacros issue or is somehow related to a specific website or configuration.

5. If reporting a problem with the iMacros scripting interface, please also test if the included VBS sample scripts run ok.
This test helps us to determine if the iMacros scripting interface installation is ok.

6. If recording or replay fails on a specific website: Can you please post the URL of the web page and/or the macro that creates the problem?
If you cannot post the macro in a public user forum or the website requires a login, can you provide a similar example of the problem on a publicly accessible website?

7. Do you encounter the same problem recording or replaying the macro in different browsers, such as the iMacros browser, Firefox, Chrome, or Internet Explorer? 
Note: If the problem is specific to Firefox or Chrome, please post in either the iMacros for Firefox or iMacros for Chrome sub-forum respectively.

8. Please include any additional information that is relevant to reproducing the issue.
This includes a detailed description of the steps you've tried as well as the specific error codes and messages, macro logs, screen shots, etc. Please upload screenshots and other relevant files directly to the forum and not to a third-party hosting service!

This information allows us to quickly re-create the issue on our test systems and solve it ASAP.

Additional tips when posting

* Please ensure that the content of your post is relevant to the topic and/or forum where you post it.
For example, if you are having a problem extracting data from a web page and are using Firefox, create your post in the Data Extraction and Web Screen Scraping forum rather than the iMacros for Firefox forum (see note #7 above). If you are unsure which forum to post to, use the General Support & Discussions forum.

* Use a topic title that succinctly describes the problem or issue.
Avoid phrases such as ""Please Help"", ""Urgent"", ""Script not working"", etc. and refrain from using all capital letters and exclamation points. Also, double-check that the spelling of the title and body of the post are correct, since this makes it more likely to be found in searches by other users. Most modern browsers automatically check spelling as you type and underline mistakes, so please correct them before submitting your post.

* Don't post the same question to more than one forum.
If you've miscategorized your original post, just click the Exclamation Icon on the right of the post's subject/title line to report it and let us know where you would like it moved or merged.

* Always provide your FCI (Full Config Info), c.f. items 1-3 above, in your original post even if you think it may not be relevant.
Some of our mods may not even respond unless this information is included. Please don't put this information in your signature, because this can change over time and makes it more confusing when reviewing older posts. Include the information directly in the body of the post instead.

* When sharing screenshots or other relevant files, please upload them directly to the forum rather than use a third-party hosting/sharing service.
Too often these services stop functioning or the files become unavailable for whatever reason. Uploading them here ensures that the full context of the post remains consistent over time.

* Take a minute to review your forum notification settings

Thank you for helping us to help you better!",1
trim() not working,"FCI: (Added by Mod from User's Sig.)
My Config: iMacros Browser 11.5 DESKTOP; Windows 7

>>>

I'm extracting data that contains spaces, and so I use the trim() function to removes the spaces.

But It doesn't work!

Here's a sample code :
Code: Select allVERSION BUILD=11.5.499.3066
TAB T=1
TAB CLOSEALLOTHERS

SET !VAR0 <SP><SP><SP><SP><SP><SP>Hi<SP>
SET someVar EVAL(""var some='{{!VAR0}}'.trim(); some;"")
PROMPT {{someVar}}

The code above should work normally but it returns this error :
Error -1250: JScript statement in EVAL contains the following error: Objects of type 'System.String' do not have such a member. Line 6: SET someVar EVAL(""var some='{{!VAR0}}'.trim(); some;"")

JavaScript does have trim() function and it works on IE and all browsers!

UPDATE : Apparently It works on FireFox Add-on but not on the iMacros Desktop Browser. Why doesn't it work on the iMacros Browser, which is supposed to be superior than the free add-ons ?!!",3
How to trim whitespace with EVAL,"Blakero wrote: 閳厭ri Dec 02, 2022 5:50 am
Hello,
I'm extracting data that contains spaces, and so I use the trim() function to removes the spaces.
But It doesn't work!
Here's a sample code : 
Code: Select allVERSION BUILD=11.5.499.3066
TAB T=1
TAB CLOSEALLOTHERS

SET !VAR0 <SP><SP><SP><SP><SP><SP>Hi<SP>
SET someVar EVAL(""var some='{{!VAR0}}'.trim(); some;"")
PROMPT {{someVar}}

The code above should work normally but it returns this error :
Error -1250: JScript statement in EVAL contains the following error: Objects of type 'System.String' do not have such a member. Line 6: SET someVar EVAL(""var some='{{!VAR0}}'.trim(); some;"")
JavaScript does have trim() function and it works on IE and all browsers!


Hi Blakero,

Support for the trim() function is dependent on the version of the Javascript engine in use. It looks like you recorded your macro with an older version of the iMacros browser, and hence trim() is not available. However, you can use the replace() function with a regular expression to achieve the same result. An example is provided under the Manipulate extraction section on the EVAL command reference page.",1
How to extract data from CTRL+C,"Hi, I'm new to iMacros. I'm using iMacros VERSION BUILD=1011 Personal edition on Chrome 108.0.5359.125 64bit on Windows 10 Pro
I have a problem to copy text from some text boxes. I tried many ways and the only way to copy it is CTRL+C in EVENT mode. My code looks like this:
Code: Select all'select all
EVENT TYPE=KEYPRESS SELECTOR=""HTML>BODY>DIV>DIV:nth-of-type(2)>DIV:nth-of-type(2)>DIV:nth-of-type(6)>DIV>DIV>DIV>DIV>DIV:nth-of-type(2)>DIV>DIV>INPUT"" KEY=65 MODIFIERS=""ctrl""
'copy
EVENT TYPE=KEYPRESS SELECTOR=""HTML>BODY>DIV>DIV:nth-of-type(2)>DIV:nth-of-type(2)>DIV:nth-of-type(6)>DIV>DIV>DIV>DIV>DIV:nth-of-type(2)>DIV>DIV>INPUT"" KEY=67 MODIFIERS=""ctrl""
Then I tried manually pasting the text, it worked. It copied the text correctly. What I want is to extract that copied text to save it as CSV file. How can I do this? Please help.
Please see the image of the text boxes in attachment.",2
Dynamic Frame Tracking,"Configuration: Surface Pro 2, Win 10, Firefox 53, iMacros Standard Edition (x86) Version 11.0.246.4051
Hi,
 I extract data from a web page and in the last few months the frame number (no frame names that refer to table) seems to vary from numbers 14-18 every few days/weeks.  My work around now is to manually change number.  I would like to able to have macro handle that, but I can't figure out how to do it. The original macro has 300 lines of code and I need to access this particular frame twice, line 47 and then again at line 234.  Ideally the macro would determine frame number, then store in variable for second access.  I have searched the web and I know there are scripting solutions out there but I am confused/unsure how to specifically code and then incorporate script into the existing macro: ie: Run firstpart.iim, run framenumber.js, then run finalpart.iim??
Thanks

TEST Macro:
VERSION BUILD=11.0.246.4051
SET !ERRORIGNORE YES
SET !EXTRACT_TEST_POPUP YES
TAB OPEN
TAB T=2
URL GOTO=http://armls.flexmls.com/
FRAME NAME=top_frame
TAG POS=2 TYPE=A ATTR=TXT:Map<SP>search
FRAME NAME=view_frame
TAG POS=1 TYPE=SELECT ATTR=NAME:sdlist CONTENT=%x'20080728221329913527000000'
TAG POS=1 TYPE=BUTTON:SUBMIT ATTR=TXT:Use
TAG POS=1 TYPE=SELECT ATTR=NAME:s_3 CONTENT=%A:%AWC_C:%AWC_Y:%P:%C
TAG POS=1 TYPE=SPAN ATTR=ID:3_see_all_link
TAG POS=1 TYPE=INPUT:CHECKBOX ATTR=NAME:c_3_4_date CONTENT=YES
TAG POS=1 TYPE=INPUT:TEL ATTR=NAME:relative_3_4 CONTENT=365
TAG POS=1 TYPE=INPUT:CHECKBOX ATTR=ID:enabled_4 CONTENT=YES
FRAME NAME=iframe_map
TAG POS=1 TYPE=IMG ATTR=SRC:http://armls.flexmls.com/images/mapping/pin_24.png
FRAME NAME=view_frame
TAG POS=1 TYPE=SELECT ATTR=NAME:s_4 CONTENT=%SF
SET !VAR1 ""4897 e hazeltine ct""
SET !VAR2 ""85249""
SET !VAR7 ""chandler""
'PROMPT ""Please enter subject street address:"" !VAR1
'PROMPT ""Enter subject zip code:"" !VAR2
'PROMPT ""Enter subject city"" !VAR7
FRAME NAME=iframe_map
TAG POS=1 TYPE=IMG ATTR=SRC:http://armls.flexmls.com/images/mapping/pin_24.png
TAG POS=1 TYPE=INPUT:TEXT FORM=NAME:NoFormName ATTR=NAME:address CONTENT={{!VAR1}}
TAG POS=1 TYPE=INPUT:TEXT FORM=NAME:NoFormName ATTR=NAME:zip CONTENT={{!VAR2}}
TAG POS=1 TYPE=INPUT:TEXT FORM=NAME:NoFormName ATTR=NAME:city CONTENT={{!VAR7}}
TAG POS=1 TYPE=BUTTON:SUBMIT ATTR=TXT:Locate
TAG POS=1 TYPE=DIV ATTR=ID:point_0
WAIT SECONDS=5
TAG POS=1 TYPE=SPAN ATTR=TXT:Use<SP>this<SP>location
TAG POS=1 TYPE=A ATTR=TXT:Radius<SP>Search
TAG POS=1 TYPE=A ATTR=TXT:Create<SP>Radius
WAIT SECONDS=10
FRAME NAME=view_frame
'Extract 12 month Neighborhood house price stats
TAG POS=1 TYPE=LI ATTR=ID:tab_stats
TAG POS=1 TYPE=A ATTR=TXT:Comparison<SP>Statistics
WAIT SECONDS=15
FRAME F=16
TAG POS=1 TYPE=TD ATTR=ID:hiLP EXTRACT=TXT
TAG POS=1 TYPE=TD ATTR=ID:ctLP EXTRACT=TXT
TAG POS=1 TYPE=TD ATTR=ID:lowSP EXTRACT=TXT
TAG POS=1 TYPE=TD ATTR=ID:hiSP EXTRACT=TXT
TAG POS=1 TYPE=SPAN ATTR=ID:ctSP EXTRACT=TXT
TAG POS=1 TYPE=TD ATTR=ID:avgDom EXTRACT=TXT
FILEDELETE NAME=C:\Users\Public\Documents\iMacros\datasources\BBformdata\Chasedata.csv
SAVEAS TYPE=EXTRACT FOLDER=C:\Users\Public\Documents\iMacros\datasources\BBformdata FILE=Chasedata.csv",28
Select a drowdonw value,"imacro 10.1.0.1485 / windows 10 / CHrome 107.0.5304.107


Hello,

i'm trying to select a value in a drowdown list but nothing change (sorry for my bad english 

I've read other post but it's beyond my strength

Here the code




I'm beginner and try several combinaison like TAG POS=1 TYPE=select-options ATTR=part:dropdown-option2&value:3 but 

If someone can give me a track to follow 

Thanks",3
How to extract once every few loops?,"Hello all
My script extracts once every 60 loops, 1,60,120,180 .. etc TAG POS=1, so I use made this with EVAL.

But my problem is that {{Datastart}} is empty when no value to extract.

My question is how to make {{Datastart}} EVAL to work like {{1datastart}}? I mean to remain the first extract value from loop1 during the next 59 loops and to extract the value again at loop 61?
Code: Select allSET !ERRORIGNORE YES
SET 1datastart EVAL(""var n='{{!LOOP}}'; var z; if((n%60)==1){z=\""1\"";} else{z=0;}; z;"")
TAG POS={{1datastart}} TYPE=DIV ATTR=CLASS:""*cell-body tablecell-date sortable column-sorted*""&&TXT:*,* EXTRACT=TXT
SET datastart EVAL(""'{{!EXTRACT}}'.replace(/(Scheduled|Published)/g, '').trim();"")
Prompt {{datastart}}


I am using (FCI):
Code: Select alliMacros for CR v10.1.1 'PE', CR v105.0.5195.102 (_x64), Win10_x64. ('CR' = 'Chrome' / 'PE' = 'Personal Edition')
",3
Help with XPath,"I'm relatively new to iMacros and identifying XPaths is proving a problem. Some I am able to do either inspecting the element in Chrome or using the XPath Helper extension. However, this particular one is proving a problem and I would appreciate some help.

Page: https://www.achurchnearyou.com/church/3247/find-us/

I want to simply obtain the navlist__item-title from here:
Code: Select all<div class=""navlist__item-title"">St George's Church</div>

So how do I achieve this so I can include the XPath in a TAG command?
This is my failed attempt: 
Code: Select allTAG XPATH="".//div[@class='navlist__item-title']"" EXTRACT=TXT

Thanks.",11
Multiple HREF,"VERSION BUILD=1011 TRIAL VERSION
Windows 10 64 bit
Chrome Version 106.0.5249.103

Hello, I've been exploring into multiple possibilities in iMacros, and I'm pretty impressed with how much time it has saved me. I'm now working on a new script that would extract numerous HREF, open them in new tabs, and then shut them. The issue is that the first HREF only worked, and the subsequent HREF didn't function at all. Can more than one HREF be extracted using a single script, like !VAR1, !VAR2? The sample script I'm using is shown below.
Code: Select allTAG POS=2 TYPE=SPAN ATTR=TXT:Visit
TAG POS=1 TYPE=A ATTR=TXT:Clickhere EXTRACT=HREF
TAB OPEN
TAB T=2
URL GOTO={{!EXTRACT}}
TAB T=1
TAG POS=1 TYPE=SPAN ATTR=TXT:Back
TAG POS=2 TYPE=SPAN ATTR=TXT:Visit
TAG POS=1 TYPE=A ATTR=TXT:Clickhere EXTRACT=HREF
TAB T=2
URL GOTO={{!EXTRACT}}
TAB T=1
TAB CLOSEALLOTHERS
",10
